A/C,N,O,R,RU,U,UO,RO
sneeze NO,0.000979816,0.001793817,0.000542667,0.000120593,0.002773632,0.000783853,0.000180889
cough YES,0,0.00033163,0.001085334,0.000512519,0,3.01E-05,0.000572815
cough NO,0.000979816,0.001793817,0.001432038,0.00033163,0.002773632,0.000753704,0.000391926
wheezeBlocks YES,0,0.000542667,0.001432038,0.000648186,0,3.01E-05,0.000633112
wheezeBlocks NO,0.000979816,0.001582779,0.001085334,0.000195963,0.002773632,0.000753704,0.00033163
headache YES,0,0.000135667,0.000602964,0.000527593,0,1.51E-05,0.000557741
headache NO,0.000979816,0.00198978,0.001914409,0.000316556,0.002773632,0.000768779,0.000407
itching YES,1.51E-05,0.001085334,1.51E-05,0.000798927,0.002698262,0.000768779,3.01E-05
itching NO,0.000964742,0.001040112,0.002502299,4.52E-05,7.54E-05,1.51E-05,0.000934594
swelling YES,0,0.000301482,0,0.000542667,0.00107026,0.000316556,0
swelling NO,0.000979816,0.001823965,0.002517373,0.000301482,0.001703372,0.000467297,0.000964742
redrashes YES,0,0.000241185,0,0.000527593,0.000648186,0.000241185,0
redrashes NO,0.000979816,0.001884261,0.002517373,0.000316556,0.002125447,0.000542667,0.000964742
Age G3,0.00033163,0.000618038,0.00066326,0.000391926,0.000949668,0.000346704,0.000211037
Age G5,0.000120593,6.03E-05,0.000105519,4.52E-05,0.000195963,6.03E-05,3.01E-05
Age NO,0,3.01E-05,0,0,3.01E-05,0,0
Age G4,0.000135667,0.000391926,0.000286408,0.000105519,0.000391926,7.54E-05,0.000105519
Age G1,0.000195963,0.000376852,0.00033163,7.54E-05,0.00025626,7.54E-05,0.000105519
Age G2,0.000195963,0.000648186,0.001130557,0.000226111,0.000949668,0.000226111,0.000512519
Sex F,0.000542667,0.001100409,0.001040112,0.000557741,0.001673224,0.000407,0.000512519
Sex M,0.000437149,0.001025038,0.001477261,0.000286408,0.001100409,0.000376852,0.000452223
Fhistory YES,0,0.001462187,0.001145631,0.000768779,0.001567705,0.000497445,0.000964742
Fhistory NO,0.000979816,0.00066326,0.001371742,7.54E-05,0.001205927,0.000286408,0
