A/C,R,O,N,RU,U,UO,RO
oil NR,0.000136227,0.000105955,3.03E-05,0.000257318,0.000287591,0.000136227,0.000151364
oil MR,1.51E-05,1.51E-05,0,0,0,4.54E-05,0
garlic LR,0.000211909,0.000196773,3.03E-05,0.000302728,0.000469228,0.000211909,0.000151364
garlic HR,4.54E-05,3.03E-05,0,0,0.000105955,0,3.03E-05
garlic MR,0.000105955,0.0001665,4.54E-05,7.57E-05,0.000151364,7.57E-05,0.000151364
garlic KR,0.000408682,0.000242182,0.000333,0.000272455,0.000469228,0.000136227,9.08E-05
garlic NR,0.001407683,0.000726546,0.000227046,0.000787092,0.001665002,0.000832501,0.000832501
ginger LR,0.000227046,0.000121091,1.51E-05,0.000121091,0.000181637,0.000121091,0.000121091
ginger HR,0,0,0,1.51E-05,1.51E-05,0,3.03E-05
ginger KR,0.000983865,0.000681137,0.000484364,0.000741683,0.001543911,0.000696273,0.000771955
ginger MR,0.000121091,3.03E-05,0,4.54E-05,0.000151364,4.54E-05,4.54E-05
ginger NR,0.000847637,0.000529773,0.000136227,0.000514637,0.000968728,0.000393546,0.000287591
pepper LR,4.54E-05,4.54E-05,1.51E-05,1.51E-05,7.57E-05,1.51E-05,3.03E-05
pepper HR,1.51E-05,0,0,0,3.03E-05,0,0
pepper KR,0.001619593,0.000999001,0.000560046,0.000847637,0.002119093,0.000847637,0.000953592
pepper MR,3.03E-05,0,0,0,1.51E-05,1.51E-05,1.51E-05
pepper NR,0.000469228,0.000317864,6.05E-05,0.000575182,0.000620592,0.000378409,0.000257318
tamarind LR,3.03E-05,3.03E-05,0,4.54E-05,6.05E-05,3.03E-05,0
tamarind HR,1.51E-05,1.51E-05,0,0,0,0,1.51E-05
tamarind KR,0.00175582,0.001029274,0.000620592,0.00104441,0.002361275,0.000923319,0.000953592
tamarind MR,4.54E-05,3.03E-05,0,0,3.03E-05,0,1.51E-05
tamarind NR,0.000333,0.000257318,1.51E-05,0.000348137,0.000408682,0.000302728,0.000272455
aginomoto LR,0,4.54E-05,1.51E-05,4.54E-05,3.03E-05,4.54E-05,1.51E-05
aginomoto KR,0.001967729,0.001226047,0.000590319,0.001241183,0.002482366,0.001104956,0.001120092
aginomoto NR,0.000196773,7.57E-05,3.03E-05,0.000151364,0.000348137,9.08E-05,0.000121091
aginomoto MR,1.51E-05,1.51E-05,0,0,0,1.51E-05,0
spices LR,0,4.54E-05,1.51E-05,0,6.05E-05,3.03E-05,1.51E-05
spices KR,0.001967729,0.001226047,0.000590319,0.001256319,0.002452093,0.001089819,0.001120092
spices NR,0.000196773,9.08E-05,3.03E-05,0.000181637,0.000333,0.000121091,0.000121091
spices MR,1.51E-05,0,0,0,1.51E-05,1.51E-05,0
coco LR,0.001241183,0.000681137,0.000242182,0.000635728,0.001649865,0.000862774,0.000666001
coco HR,9.08E-05,4.54E-05,3.03E-05,0.000136227,9.08E-05,4.54E-05,0.000105955
coco KR,0.000363273,0.000272455,0.000317864,6.05E-05,0.000242182,7.57E-05,0.000257318
coco MR,0.000272455,0.000196773,1.51E-05,0.000363273,0.000635728,9.08E-05,0.000181637
coco NR,0.000211909,0.0001665,3.03E-05,0.000242182,0.000242182,0.000181637,4.54E-05
horlicks LR,0.001180638,0.000696273,0.000227046,0.000771955,0.001665002,0.000802228,0.000590319
horlicks HR,3.03E-05,1.51E-05,1.51E-05,0,7.57E-05,4.54E-05,4.54E-05
horlicks KR,0.0004995,0.000302728,0.000348137,9.08E-05,0.000287591,7.57E-05,0.000287591
horlicks MR,0.000211909,0.000136227,0,0.000302728,0.000484364,0.0001665,0.000227046
horlicks NR,0.000257318,0.000211909,4.54E-05,0.000272455,0.000348137,0.0001665,0.000105955
boost LR,0.000105955,0.000136227,3.03E-05,6.05E-05,0.000257318,0.000121091,0.0001665
boost HR,1.51E-05,0,0,0,4.54E-05,0,0
boost MR,3.03E-05,1.51E-05,1.51E-05,0,6.05E-05,3.03E-05,0
boost KR,0.001740684,0.000968728,0.000560046,0.001241183,0.001876911,0.000908183,0.00087791
boost NR,0.000287591,0.000242182,3.03E-05,0.000136227,0.000620592,0.000196773,0.000211909
nuts LR,0.000348137,0.000257318,6.05E-05,0.000363273,0.000726546,0.000302728,0.000317864
nuts HR,0.0001665,6.05E-05,1.51E-05,0.000121091,0.000181637,1.51E-05,6.05E-05
nuts KR,0.00054491,0.000302728,0.000348137,0.000333,0.000605455,0.000302728,0.000136227
nuts MR,0.000272455,0.000181637,3.03E-05,0.000181637,0.000363273,0.000121091,0.000196773
nuts NR,0.000847637,0.000560046,0.000181637,0.000438955,0.000983865,0.000514637,0.00054491
runningnose YES,0.001649865,0.000151364,1.51E-05,0.001195774,3.03E-05,0,0.000953592
runningnose NO,0.000529773,0.00121091,0.000620592,0.000242182,0.002830503,0.001256319,0.000302728
sneeze YES,0.001680138,0.000181637,0,0.001241183,0,0,0.000953592
sneeze NO,0.0004995,0.001180638,0.000635728,0.000196773,0.002860776,0.001256319,0.000302728
cough YES,0.000938455,0.000196773,0,0.000908183,0,4.54E-05,0.00071141
cough NO,0.001241183,0.001165501,0.000635728,0.000529773,0.002860776,0.00121091,0.00054491
wheezeBlocks YES,0.001241183,0.000302728,0,0.001180638,0,4.54E-05,0.000787092
wheezeBlocks NO,0.000938455,0.001059547,0.000635728,0.000257318,0.002860776,0.00121091,0.000469228
headache YES,0.000514637,9.08E-05,0,0.000938455,0,3.03E-05,0.000696273
headache NO,0.001665002,0.001271456,0.000635728,0.0004995,0.002860776,0.001226047,0.000560046
itching YES,1.51E-05,0.000726546,1.51E-05,0.001347138,0.002769957,0.001241183,3.03E-05
itching NO,0.002164502,0.000635728,0.000620592,9.08E-05,9.08E-05,1.51E-05,0.001226047
swelling YES,0,0.000227046,0,0.000968728,0.001089819,0.000575182,0
swelling NO,0.002179639,0.001135228,0.000635728,0.000469228,0.001770956,0.000681137,0.001256319
redrashes YES,0,0.000151364,0,0.000923319,0.000681137,0.000469228,0
redrashes NO,0.002179639,0.00121091,0.000635728,0.000514637,0.002179639,0.000787092,0.001256319
Age G3,0.000590319,0.000408682,0.000211909,0.000666001,0.000938455,0.00054491,0.000287591
Age G5,9.08E-05,4.54E-05,4.54E-05,4.54E-05,0.000151364,0.000121091,3.03E-05
Age NO,0,1.51E-05,0,0,3.03E-05,0,0
Age G4,0.000272455,0.000272455,0.000121091,0.000196773,0.000348137,7.57E-05,0.000136227
Age G2,0.000923319,0.000378409,0.0001665,0.000408682,0.001089819,0.000408682,0.000696273
Age G1,0.000302728,0.000242182,9.08E-05,0.000121091,0.000302728,0.000105955,0.000105955
Sex F,0.000923319,0.000696273,0.000348137,0.000938455,0.001740684,0.000726546,0.000635728
Sex M,0.001256319,0.000666001,0.000287591,0.0004995,0.001120092,0.000529773,0.000620592
Fhistory YES,0.000953592,0.000893046,0,0.001316865,0.001695274,0.000817364,0.001256319
Fhistory NO,0.001226047,0.000469228,0.000635728,0.000121091,0.001165501,0.000438955,0
