A/C,N,R,O,RU,UO,U,RO
housedust HR,0.060606061,0.227272727,0.143939394,0.106060606,0.071969697,0.284090909,0.106060606
housedust LR,0.052083333,0.25,0.145833333,0.041666667,0.114583333,0.333333333,0.0625
housedust MR,0.077966102,0.206779661,0.118644068,0.061016949,0.06779661,0.383050847,0.084745763
housedust NR,0.042857143,0.1,0.2,0.085714286,0.028571429,0.471428571,0.071428571
cottondust LR,0.079136691,0.18705036,0.115107914,0.079136691,0.079136691,0.402877698,0.057553957
cottondust HR,0.056451613,0.185483871,0.10483871,0.096774194,0.112903226,0.387096774,0.056451613
cottondust MR,0.06614786,0.225680934,0.147859922,0.089494163,0.062256809,0.291828794,0.116731518
cottondust KR,0,0.5,0,0,0,0.5,0
cottondust NR,0.0591133,0.216748768,0.167487685,0.049261084,0.054187192,0.359605911,0.093596059
aspergilus LR,0.055555556,0.201388889,0.145833333,0.041666667,0.069444444,0.402777778,0.083333333
aspergilus HR,0.054054054,0.216216216,0.195945946,0.074324324,0.067567568,0.27027027,0.121621622
aspergilus MR,0.075630252,0.210084034,0.113445378,0.113445378,0.075630252,0.340336134,0.071428571
aspergilus KR,0.142857143,0.428571429,0,0.142857143,0.142857143,0.142857143,0
aspergilus NR,0.063829787,0.20212766,0.127659574,0.058510638,0.069148936,0.388297872,0.090425532
pollen LR,0.06122449,0.244897959,0.06122449,0.06122449,0.071428571,0.428571429,0.071428571
pollen HR,0.0562249,0.208835341,0.156626506,0.080321285,0.088353414,0.301204819,0.108433735
pollen MR,0.075471698,0.198113208,0.125786164,0.08490566,0.062893082,0.371069182,0.081761006
pollen KR,0,0.333333333,0.333333333,0.333333333,0,0,0
pollen NR,0.052631579,0.210526316,0.263157895,0.035087719,0.052631579,0.315789474,0.070175439
parthenium LR,0.076923077,0.25,0.134615385,0.096153846,0.057692308,0.384615385,0
parthenium HR,0.065616798,0.199475066,0.144356955,0.089238845,0.076115486,0.322834646,0.102362205
parthenium MR,0.065384615,0.219230769,0.130769231,0.053846154,0.069230769,0.376923077,0.084615385
parthenium KR,0,0,1,0,0,0,0
parthenium NR,0.032258065,0.193548387,0.129032258,0.096774194,0.064516129,0.387096774,0.096774194
cockroach LR,0.025641026,0.153846154,0.166666667,0.115384615,0.051282051,0.397435897,0.08974359
cockroach HR,0.085798817,0.201183432,0.112426036,0.085798817,0.068047337,0.343195266,0.103550296
cockroach MR,0.05907173,0.248945148,0.156118143,0.067510549,0.080168776,0.329113924,0.05907173
cockroach KR,0,0.4,0.2,0,0,0.4,0
cockroach NR,0.029850746,0.164179104,0.179104478,0.029850746,0.089552239,0.388059701,0.119402985
catdander LR,0,0.25,0.25,0.083333333,0,0.333333333,0.083333333
catdander HR,0,0,0,0,0,0.6,0.4
catdander KR,0.063636364,0.212121212,0.142424242,0.077272727,0.071212121,0.351515152,0.081818182
catdander MR,0,0.25,0,0.25,0,0.5,0
catdander NR,0.113636364,0.181818182,0.090909091,0.068181818,0.113636364,0.272727273,0.159090909
dosfur LR,0.09375,0.125,0.0625,0.1875,0.15625,0.21875,0.15625
dosfur HR,0.111111111,0.111111111,0.111111111,0.222222222,0.111111111,0.333333333,0
dosfur KR,0.063593005,0.213036566,0.13990461,0.07154213,0.069952305,0.360890302,0.081081081
dosfur MR,0.04,0.12,0.24,0.04,0.04,0.28,0.24
dosfur NR,0.066666667,0.333333333,0.133333333,0.066666667,0.033333333,0.3,0.066666667
roaddust LR,0.054054054,0.175675676,0.121621622,0.081081081,0.067567568,0.405405405,0.094594595
roaddust HR,0,0,0.166666667,0,0,0.666666667,0.166666667
roaddust MR,0,0.257142857,0.085714286,0.085714286,0.114285714,0.314285714,0.142857143
roaddust KR,0.333333333,0.146666667,0.106666667,0.04,0.066666667,0.24,0.066666667
roaddust NR,0.03364486,0.222429907,0.14953271,0.082242991,0.071028037,0.355140187,0.085981308
oldpdust LR,0.041666667,0.083333333,0.166666667,0.041666667,0.125,0.458333333,0.083333333
oldpdust HR,0,0,0.25,0.25,0,0.5,0
oldpdust KR,0.070643642,0.215070644,0.139717425,0.076923077,0.067503925,0.340659341,0.089481947
oldpdust MR,0,0,0,0.125,0,0.5,0.375
oldpdust NR,0.019230769,0.25,0.134615385,0.076923077,0.115384615,0.365384615,0.038461538
PSdust LR,0.041666667,0.152777778,0.125,0.083333333,0.083333333,0.472222222,0.041666667
PSdust HR,0,0.5,0,0.125,0,0.25,0.125
PSdust KR,0.09375,0.229166667,0.131944444,0.069444444,0.055555556,0.333333333,0.086805556
PSdust MR,0.042553191,0.085106383,0.255319149,0.127659574,0.063829787,0.382978723,0.042553191
PSdust NR,0.048387097,0.216129032,0.135483871,0.074193548,0.087096774,0.332258065,0.106451613
MilkP LR,0.03030303,0.212121212,0.136363636,0.121212121,0.090909091,0.393939394,0.015151515
MilkP HR,0,0.166666667,0.333333333,0.083333333,0,0.333333333,0.083333333
MilkP KR,0.084677419,0.213709677,0.122983871,0.076612903,0.068548387,0.344758065,0.088709677
MilkP MR,0.023809524,0.285714286,0.19047619,0.095238095,0.119047619,0.261904762,0.023809524
MilkP NR,0.018348624,0.165137615,0.174311927,0.04587156,0.064220183,0.376146789,0.155963303
MilkC LR,0.043103448,0.172413793,0.129310345,0.103448276,0.043103448,0.396551724,0.112068966
MilkC HR,0.029411765,0.117647059,0.294117647,0.058823529,0.176470588,0.264705882,0.058823529
MilkC MR,0.027027027,0.283783784,0.081081081,0.067567568,0.067567568,0.391891892,0.081081081
MilkC KR,0.087912088,0.203296703,0.137362637,0.087912088,0.063186813,0.326923077,0.093406593
MilkC NR,0.051094891,0.240875912,0.145985401,0.03649635,0.094890511,0.364963504,0.065693431
curd LR,0.111111111,0.222222222,0.111111111,0.074074074,0.148148148,0.296296296,0.037037037
curd KR,0.068403909,0.214983713,0.136807818,0.073289902,0.070032573,0.345276873,0.091205212
curd NR,0.013888889,0.194444444,0.152777778,0.125,0.041666667,0.388888889,0.083333333
curd MR,0.083333333,0,0.25,0,0.166666667,0.416666667,0.083333333
coffee LR,0.026785714,0.205357143,0.098214286,0.107142857,0.0625,0.401785714,0.098214286
coffee HR,0.111111111,0.055555556,0.166666667,0.055555556,0.055555556,0.444444444,0.111111111
coffee MR,0.028169014,0.211267606,0.126760563,0.084507042,0.098591549,0.352112676,0.098591549
coffee KR,0.115830116,0.193050193,0.150579151,0.065637066,0.073359073,0.335907336,0.065637066
coffee NR,0.037735849,0.237735849,0.147169811,0.075471698,0.067924528,0.332075472,0.101886792
tea LR,0.028169014,0.197183099,0.070422535,0.070422535,0.112676056,0.436619718,0.084507042
tea HR,0.066666667,0.133333333,0.133333333,0.066666667,0,0.466666667,0.133333333
tea KR,0.094674556,0.230769231,0.144970414,0.071005917,0.062130178,0.310650888,0.085798817
tea MR,0.0625,0.203125,0.125,0.09375,0.078125,0.390625,0.046875
tea NR,0.033755274,0.189873418,0.156118143,0.084388186,0.075949367,0.358649789,0.101265823
beef LR,0.033707865,0.224719101,0.134831461,0.08988764,0.112359551,0.359550562,0.04494382
beef HR,0.133333333,0.2,0.066666667,0,0.066666667,0.333333333,0.2
beef KR,0.130434783,0.160869565,0.134782609,0.073913043,0.047826087,0.373913043,0.07826087
beef MR,0.013157895,0.210526316,0.131578947,0.118421053,0.092105263,0.328947368,0.105263158
beef NR,0.034920635,0.241269841,0.149206349,0.06984127,0.073015873,0.333333333,0.098412698
chicken LR,0.01369863,0.212328767,0.143835616,0.102739726,0.102739726,0.349315068,0.075342466
chicken HR,0,0.142857143,0.142857143,0.142857143,0,0.571428571,0
chicken KR,0.132,0.184,0.152,0.06,0.064,0.324,0.084
